0,1,2
DividendsReceivedClassifiedAsOperatingActivities,,
InterestPaidClassifiedAsOperatingActivities,,
InterestReceivedClassifiedAsOperatingActivities,,
IncomeTaxesPaidRefundClassifiedAsOperatingActivities,,
OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,,
CashFlowsFromUsedInOperatingActivitiesBeforeExtraordinaryItems,,
ProceedsFromExtraordinaryItemsClassifiedAsOperatingActivities,,
PaymentForExtraordinaryItemsClassifiedAsOperatingActivities,,
CashFlowsFromUsedInOperatingActivities,,
CashFlowsFromUsedInInvestingActivitiesAbstract,,
CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,,
CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,,
OtherCashReceiptsFromSalesOfEquityOrDebtInstrumentsOfOtherEntitiesClassifiedAsInvestingActivities,,
OtherCashPaymentsToAcquireEquityOrDebtInstrumentsOfOtherEntitiesClassifiedAsInvestingActivities,,
OtherCashReceiptsFromSalesOfInterestsInJointVenturesClassifiedAsInvestingActivities,,
OtherCashPaymentsToAcquireInterestsInJointVenturesClassifiedAsInvestingActivities,,
CashReceiptsFromShareOfProfitsOfPartnershipFirmOrAssociationOfPersonsOrLimitedLiabilityPartnerships,,
CashPaymentForInvestmentInPartnershipFirmOrAssociationOfPersonsOrLimitedLiabilityPartnerships,,
ProceedsFromSalesOfTangibleAssetsClassifiedAsInvestingActivities,,
PurchaseOfTangibleAssetsClassifiedAsInvestingActivities,,
ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,,
PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,,
CashAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,,
CashReceiptsFromRepaymentOfAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,,
CashPaymentsForFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,,
CashReceiptsFromFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,,
DividendsReceivedClassifiedAsInvestingActivities,,
InterestReceivedClassifiedAsInvestingActivities,,
IncomeTaxesPaidRefundClassifiedAsInvestingActivities,,
OtherInflowsOutflowsOfCashClassifiedAsInvestingActivities,,
ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,,
CashFlowsFromUsedInInvestingActivitiesBeforeExtraordinaryItems,,
ProceedsFromExtraordinaryItemsClassifiedAsInvestingActivities,,
PaymentForExtraordinaryItemsClassifiedAsInvestingActivities,,
CashFlowsFromUsedInInvestingActivities,,
CashFlowsFromUsedInFinancingActivitiesAbstract,,
ProceedsFromIssuingShares,,
ProceedsFromIssuingOtherEquityInstruments,,
ProceedsFromIssuingDebenturesNotesBondsEtc,,
ProceedsFromBorrowingsClassifiedAsFinancingActivities,,
RepaymentsOfBorrowingsClassifiedAsFinancingActivities,,
DividendsPaidClassifiedAsFinancingActivities,,
InterestPaidClassifiedAsFinancingActivities,,
IncomeTaxesPaidRefundClassifiedAsFinancingActivities,,
OtherInflowsOutflowsOfCashClassifiedAsFinancingActivities,,
CashFlowsFromUsedInFinancingActivitiesBeforeExtraordinaryItems,,
ProceedsFromExtraordinaryItemsClassifiedAsFinancingActivities,,
PaymentForExtraordinaryItemsClassifiedAsFinancingActivities,,
CashFlowsFromUsedInFinancingActivities,,
IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,,
EffectOfExchangeRateChangesOnCashAndCashEquivalentsAbstract,,
EffectOfExchangeRateChangesOnCashAndCashEquivalents,,
IncreaseDecreaseInCashAndCashEquivalents,,
CashAndCashEquivalentsCashFlowStatement,,
CashAndCashEquivalentsCashFlowStatement,,
"[100400] Cash flow statement, indirect",,
name,,
StatementOfCashFlowsAbstract,,
WhetherCashFlowStatementIsApplicableOnCompany,This item is mandatory,
CashFlowsFromUsedInOperatingActivitiesAbstract,,
ProfitBeforeExtraordinaryItemsAndTax,,
AdjustmentsForReconcileProfitLossAbstract,,
AdjustmentsToProfitLossAbstract,,
AdjustmentsForFinanceCosts,,
AdjustmentsForDepreciationAndAmortisationExpense,,
AdjustmentsForImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss,,
AdjustmentsForUnrealisedForeignExchangeLossesGains,,
AdjustmentsForDividendIncome,,
AdjustmentsForSharebasedPayments,,
OtherAdjustmentsForWhichCashEffectsAreInvestingOrFinancingCashFlow,,
OtherAdjustmentsToReconcileProfitLoss,,
OtherAdjustmentsForNoncashItems,,
ShareOfProfitAndLossFromPartnershipFirmOrAssociationOfPersonsOrLimitedLiabilityPartnerships,,
AdjustmentsToProfitLoss,,
AdjustmentsForWorkingCapitalAbstract,,
AdjustmentsForDecreaseIncreaseInInventories,,
AdjustmentsForDecreaseIncreaseInTradeReceivables,,
AdjustmentsForDecreaseIncreaseInOtherCurrentAssets,,
AdjustmentsForIncreaseDecreaseInTradePayables,,
AdjustmentsForIncreaseDecreaseInOtherCurrentLiabilities,,
AdjustmentsForProvisions,,
AdjustmentsForWorkingCapital,,
AdjustmentsForReconcileProfitLoss,,
CashFlowsFromUsedInOperations,,
DividendsReceivedClassifiedAsOperatingActivities,,
InterestPaidClassifiedAsOperatingActivities,,
InterestReceivedClassifiedAsOperatingActivities,,
IncomeTaxesPaidRefundClassifiedAsOperatingActivities,,
OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,,
CashFlowsFromUsedInOperatingActivitiesBeforeExtraordinaryItems,,
ProceedsFromExtraordinaryItemsClassifiedAsOperatingActivities,,
PaymentForExtraordinaryItemsClassifiedAsOperatingActivities,,
CashFlowsFromUsedInOperatingActivities,,
CashFlowsFromUsedInInvestingActivitiesAbstract,,
CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,,
CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,,
OtherCashReceiptsFromSalesOfEquityOrDebtInstrumentsOfOtherEntitiesClassifiedAsInvestingActivities,,
OtherCashPaymentsToAcquireEquityOrDebtInstrumentsOfOtherEntitiesClassifiedAsInvestingActivities,,
OtherCashReceiptsFromSalesOfInterestsInJointVenturesClassifiedAsInvestingActivities,,
OtherCashPaymentsToAcquireInterestsInJointVenturesClassifiedAsInvestingActivities,,
CashReceiptsFromShareOfProfitsOfPartnershipFirmOrAssociationOfPersonsOrLimitedLiabilityPartnerships,,
CashPaymentForInvestmentInPartnershipFirmOrAssociationOfPersonsOrLimitedLiabilityPartnerships,,
ProceedsFromSalesOfTangibleAssetsClassifiedAsInvestingActivities,,
PurchaseOfTangibleAssetsClassifiedAsInvestingActivities,,
ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,,
PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,,
CashAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,,
CashReceiptsFromRepaymentOfAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,,
CashPaymentsForFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,,
CashReceiptsFromFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,,
DividendsReceivedClassifiedAsInvestingActivities,,
InterestReceivedClassifiedAsInvestingActivities,,
IncomeTaxesPaidRefundClassifiedAsInvestingActivities,,
OtherInflowsOutflowsOfCashClassifiedAsInvestingActivities,,
ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,,
CashFlowsFromUsedInInvestingActivitiesBeforeExtraordinaryItems,,
ProceedsFromExtraordinaryItemsClassifiedAsInvestingActivities,,
PaymentForExtraordinaryItemsClassifiedAsInvestingActivities,,
CashFlowsFromUsedInInvestingActivities,,
CashFlowsFromUsedInFinancingActivitiesAbstract,,
ProceedsFromIssuingShares,,
ProceedsFromIssuingOtherEquityInstruments,,
ProceedsFromIssuingDebenturesNotesBondsEtc,,
ProceedsFromBorrowingsClassifiedAsFinancingActivities,,
RepaymentsOfBorrowingsClassifiedAsFinancingActivities,,
DividendsPaidClassifiedAsFinancingActivities,,
InterestPaidClassifiedAsFinancingActivities,,
IncomeTaxesPaidRefundClassifiedAsFinancingActivities,,
OtherInflowsOutflowsOfCashClassifiedAsFinancingActivities,,
CashFlowsFromUsedInFinancingActivitiesBeforeExtraordinaryItems,,
ProceedsFromExtraordinaryItemsClassifiedAsFinancingActivities,,
PaymentForExtraordinaryItemsClassifiedAsFinancingActivities,,
CashFlowsFromUsedInFinancingActivities,,
IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,,
EffectOfExchangeRateChangesOnCashAndCashEquivalentsAbstract,,
EffectOfExchangeRateChangesOnCashAndCashEquivalents,,
IncreaseDecreaseInCashAndCashEquivalents,,
CashAndCashEquivalentsCashFlowStatement,,
CashAndCashEquivalentsCashFlowStatement,,
[200100] Notes - Share capital,,
name,,
DisclosureOfNotesOnShareCapitalExplanatoryTextBlock,,
DisclosureOfClassesOfShareCapitalAbstract,,
DisclosureOfClassesOfShareCapitalTable,This table should be mandatory in case value entered in 'ShareCapital' is greater than zero in Balance Sheet.,
ClassesOfShareCapitalAxis,,
ShareCapitalMember,,
EquitySharesMember,,
EquityShares1Member,,
EquityShares2Member,,
EquityShares3Member,,
EquityShares4Member,,
EquityShares5Member,,
EquityShares6Member,,
EquityShares7Member,,
EquityShares8Member,,
EquityShares9Member,,
EquityShares10Member,,
PreferenceSharesMember,,
PreferenceShares1Member,,
PreferenceShares2Member,,
PreferenceShares3Member,,
PreferenceShares4Member,,
PreferenceShares5Member,,
PreferenceShares6Member,,
PreferenceShares7Member,,
PreferenceShares8Member,,
PreferenceShares9Member,,
PreferenceShares10Member,,
DisclosureOfClassesOfShareCapitalLineItems,,
TypeOfShare,,
NumberOfSharesAuthorised,Should be greater than or equal to zero.,
ValueOfSharesAuthorised,Should be greater than or equal to zero. Should be equal to 'NumberOfSharesAuthorised' multiplied by 'ParValuePerShare',
NumberOfSharesIssued,Should be greater than or equal to zero. Should be less than or equal to  'Number of shares Authorised' ,
ValueOfSharesIssued,"Should be greater than or equal to zero. Should be less than or equal to 'Value of shares Authorised' 
Should be equal to 'NumberOfSharesIssued' multiplied by 'ParValuePerShare'",
